Category,Item,Serving Size (g),Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Beef & Pork,Quarter Pounder Deluxe,244,540,250,27.0,11.0,1.5,85,960,45,3,9,29,10,8,25,30
Beef & Pork,Double Quarter Pounder with Cheese,283,750,380,43.0,19.0,2.5,160,1280,42,3,10,48,10,2,30,35
Beef & Pork,Hamburger,98,240,70,8.0,3.0,0.0,30,480,32,1,6,12,2,2,10,15
Beef & Pork,Cheeseburger,113,290,100,11.0,5.0,0.5,45,680,33,2,7,15,6,2,20,15
Beef & Pork,Double Cheeseburger,161,430,190,21.0,10.0,1.0,90,1040,35,2,7,24,10,2,30,20
Beef & Pork,Bacon Clubhouse Burger,270,720,360,40.0,15.0,1.5,115,1470,51,4,14,39,8,25,30,25
Beef & Pork,McDouble,147,380,150,17.0,8.0,1.0,75,840,34,2,7,22,6,2,20,20
Beef & Pork,Bacon McDouble,161,440,200,22.0,10.0,1.0,90,1110,35,2,7,27,6,10,20,20
Beef & Pork,Daily Double,190,430,200,22.0,9.0,1.0,80,760,34,2,7,22,8,8,20,20
Beef & Pork,Jalapeño Double,159,430,210,23.0,9.0,1.0,80,1030,35,2,6,22,6,8,20,20
Beef & Pork,McRib,208,500,240,26.0,10.0,0.0,70,980,44,3,11,22,2,2,15,20
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,213,510,200,22.0,3.5,0.0,45,990,55,3,10,24,4,6,15,20
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,200,350,80,9.0,2.0,0.0,65,820,42,3,8,28,4,8,15,20
Chicken & Fish,Premium Crispy Chicken Club Sandwich,249,670,300,33.0,9.0,0.0,85,1410,58,3,11,36,8,20,30,20
Chicken & Fish,Premium Grilled Chicken Club Sandwich,235,510,180,20.0,7.0,0.0,105,1250,44,3,9,40,8,20,30,20
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,230,610,250,28.0,6.0,0.0,70,1400,57,3,11,32,4,20,15,20
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,217,450,130,15.0,4.5,0.0,90,1230,43,3,9,36,4,20,15,20
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,284,750,340,38.0,10.0,0.5,90,1720,65,4,16,36,8,25,30,15
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,270,590,230,25.0,8.0,0.0,110,1560,51,4,14,40,8,30,30,15
Chicken & Fish,Southern Style Crispy Chicken Sandwich,160,430,170,19.0,3.0,0.0,45,910,43,2,7,21,4,2,15,15
Chicken & Fish,McChicken,143,360,140,16.0,3.0,0.0,35,800,40,2,5,14,0,2,10,15
Chicken & Fish,Bacon Cheddar McChicken,171,480,220,24.0,7.0,0.0,65,1260,43,2,6,22,4,10,20,15
Chicken & Fish,Bacon Buffalo Ranch McChicken,161,430,190,21.0,5.0,0.0,50,1260,41,2,6,20,2,10,15,15
Chicken & Fish,Buffalo Ranch McChicken,148,360,150,16.0,3.0,0.0,35,990,40,2,5,14,2,2,15,15
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),316,630,280,32.0,9.0,0.5,80,1540,56,3,7,32,60,20,20,20
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),302,480,170,19.0,7.0,0.0,95,1370,42,3,6,36,60,25,20,20
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),310,610,280,31.0,8.0,0.5,65,1340,56,3,8,27,60,15,20,20
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),297,450,160,18.0,6.0,0.5,80,1170,42,3,6,30,60,15,15,20
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),314,670,300,33.0,8.0,0.5,60,1480,68,5,12,27,60,15,20,20
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),318,520,180,20.0,6.0,0.0,80,1320,55,5,10,31,70,15,20,20
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),304,540,200,23.0,4.5,0.0,50,1260,61,3,14,23,60,15,8,20
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),291,380,90,10.0,3.0,0.0,65,1090,47,3,12,27,60,15,8,20
Chicken & Fish,Chicken McNuggets (4 piece),65,190,110,12.0,2.0,0.0,25,360,12,1,0,9,0,2,0,2
Chicken & Fish,Chicken McNuggets (6 piece),97,280,160,18.0,3.0,0.0,40,540,18,1,0,13,0,2,2,4
Chicken & Fish,Chicken McNuggets (10 piece),162,470,270,30.0,5.0,0.0,65,900,30,2,0,22,0,4,2,6
Chicken & Fish,Chicken McNuggets (20 piece),323,940,530,59.0,10.0,0.0,135,1800,59,3,0,44,0,8,4,10
Chicken & Fish,Chicken McNuggets (40 piece),646,1880,1060,118.0,20.0,1.0,265,3600,118,6,1,87,0,15,8,25
Chicken & Fish,Filet-O-Fish,142,390,170,19.0,4.0,0.0,40,590,39,2,5,15,2,0,15,10
Salads,Premium Bacon Ranch Salad (without Chicken),223,140,70,7.0,3.5,0.0,25,300,10,3,4,9,170,30,15,6
Salads,Premium Bacon Ranch Salad with Crispy Chicken,255,380,190,21.0,6.0,0.0,70,860,22,2,5,25,100,25,15,8
Salads,Premium Bacon Ranch Salad with Grilled Chicken,241,220,80,8.0,4.0,0.0,85,690,8,2,4,29,110,30,15,8
Salads,Premium Southwest Salad (without Chicken),230,140,40,4.5,2.0,0.0,10,150,20,6,6,6,160,25,15,10
Salads,Premium Southwest Salad with Crispy Chicken,348,450,190,22.0,4.5,0.0,50,850,42,7,12,23,170,30,15,15
Salads,Premium Southwest Salad with Grilled Chicken,335,290,80,8.0,2.5,0.0,70,680,28,7,10,27,170,30,15,15
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),130,340,130,15.0,4.5,0.0,30,780,37,1,8,14,4,0,10,10
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),123,260,70,8.0,3.5,0.0,40,700,30,1,7,16,4,2,10,10
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),123,330,130,15.0,4.5,0.0,35,730,34,1,3,14,2,0,10,10
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),116,250,70,8.0,3.5,0.0,45,650,27,1,2,16,2,2,10,10
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),128,360,180,20.0,5.0,0.0,40,810,32,1,3,15,2,0,10,10
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),121,280,120,13.0,4.5,0.0,45,720,25,1,2,16,2,2,10,10
Snacks & Sides,Small French Fries,75,230,100,11.0,1.5,0.0,0,130,30,2,0,2,0,30,0,4
Snacks & Sides,Medium French Fries,111,340,140,16.0,2.5,0.0,0,190,44,4,0,4,0,45,2,4
Snacks & Sides,Large French Fries,168,510,220,24.0,3.5,0.0,0,290,67,5,0,6,0,70,2,8
Snacks & Sides,Kids French Fries,38,110,50,5.0,1.0,0.0,0,65,15,1,0,1,0,15,0,2
Snacks & Sides,Side Salad,87,20,0,0.0,0.0,0.0,0,10,4,1,2,1,45,25,2,4
Snacks & Sides,Apple Slices,34,15,0,0.0,0.0,0.0,0,0,4,0,3,0,0,160,2,0
Snacks & Sides,Fruit 'n Yogurt Parfait,149,150,20,2.0,1.0,0.0,5,70,30,1,23,4,2,15,10,4
Desserts,Baked Apple Pie,77,250,110,13.0,7.0,0.0,0,170,32,4,13,2,4,25,2,6
Desserts,Chocolate Chip Cookie,33,160,70,8.0,3.5,0.0,10,90,21,1,15,2,2,0,2,8
Desserts,Oatmeal Raisin Cookie,33,150,50,6.0,2.5,0.0,10,135,22,1,13,2,2,0,2,6
Desserts,Kids Ice Cream Cone,29,45,10,1.5,1.0,0.0,5,20,7,0,6,1,2,0,4,0
Desserts,Hot Fudge Sundae,179,330,80,9.0,7.0,0.0,25,170,53,1,48,8,8,0,25,8
Desserts,Hot Caramel Sundae,182,340,70,8.0,5.0,0.0,30,150,60,0,43,7,10,0,25,0
Desserts,Strawberry Sundae,178,280,60,6.0,4.0,0.0,25,85,49,0,45,6,8,4,20,0
Beverages,Coca-Cola Classic (Small),,140,0,0.0,0.0,0.0,0,0,39,0,39,0,0,0,0,0
Beverages,Coca-Cola Classic (Medium),,200,0,0.0,0.0,0.0,0,5,55,0,55,0,0,0,0,0
Beverages,Coca-Cola Classic (Large),,280,0,0.0,0.0,0.0,0,5,76,0,76,0,0,0,0,0
Beverages,Coca-Cola Classic (Child),,100,0,0.0,0.0,0.0,0,0,28,0,28,0,0,0,0,0
Beverages,Diet Coke (Small),,0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
Beverages,Diet Coke (Medium),,0,0,0.0,0.0,0.0,0,20,0,0,0,0,0,0,0,0
Beverages,Diet Coke (Large),,0,0,0.0,0.0,0.0,0,35,0,0,0,0,0,0,0,0
Beverages,Diet Coke (Child),,0,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0,0
Beverages,Dr Pepper (Small),,140,0,0.0,0.0,0.0,0,45,37,0,35,0,0,0,0,0
Beverages,Dr Pepper (Medium),,190,0,0.0,0.0,0.0,0,65,53,0,51,0,0,0,0,0
Beverages,Dr Pepper (Large),,270,0,0.0,0.0,0.0,0,90,72,0,70,0,0,0,0,0
Beverages,Dr Pepper (Child),,100,0,0.0,0.0,0.0,0,30,27,0,26,0,0,0,0,0
Beverages,Diet Dr Pepper (Small),,0,0,0.0,0.0,0.0,0,70,0,0,0,2,0,0,0,0
Beverages,Diet Dr Pepper (Medium),,0,0,0.0,0.0,0.0,0,100,0,0,0,3,0,0,0,0
Beverages,Diet Dr Pepper (Large),,0,0,0.0,0.0,0.0,0,140,0,0,0,4,0,0,0,0
Beverages,Diet Dr Pepper (Child),,0,0,0.0,0.0,0.0,0,50,0,0,0,1,0,0,0,0
Beverages,Sprite (Small),,140,0,0.0,0.0,0.0,0,30,37,0,37,0,0,0,0,0
Beverages,Sprite (Medium),,200,0,0.0,0.0,0.0,0,45,54,0,54,0,0,0,0,0
Beverages,Sprite (Large),,280,0,0.0,0.0,0.0,0,60,74,0,74,0,0,0,0,0
Beverages,Sprite (Child),,100,0,0.0,0.0,0.0,0,25,27,0,27,0,0,0,0,0
Beverages,1% Low Fat Milk Jug,236,100,20,2.5,1.5,0.0,10,125,12,0,12,8,10,4,30,0
Beverages,Fat Free Chocolate Milk Jug,236,130,0,0.0,0.0,0.0,5,135,23,1,22,9,10,0,30,8
Beverages,Minute Maid 100% Apple Juice Box,177,80,0,0.0,0.0,0.0,0,15,21,0,19,0,0,100,10,0
Beverages,Minute Maid Orange Juice (Small),,150,0,0.0,0.0,0.0,0,0,34,0,30,2,0,130,2,0
Beverages,Minute Maid Orange Juice (Medium),,190,0,0.0,0.0,0.0,0,0,44,0,39,3,0,160,4,0
Beverages,Minute Maid Orange Juice (Large),,280,0,0.0,0.0,0.0,0,5,65,0,58,4,0,240,4,0
Beverages,Dasani Water Bottle,,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Small),,0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Medium),,0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Large),,0,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Child),,0,0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0,0
Coffee & Tea,Sweet Tea (Small),,150,0,0.0,0.0,0.0,0,10,36,0,36,1,0,0,0,0
Coffee & Tea,Sweet Tea (Medium),,180,0,0.0,0.0,0.0,0,10,45,0,45,1,0,0,0,0
Coffee & Tea,Sweet Tea (Large),,220,0,0.0,0.0,0.0,0,10,54,0,54,1,0,0,0,0
Coffee & Tea,Sweet Tea (Child),,110,0,0.0,0.0,0.0,0,5,27,0,27,0,0,0,0,0
Coffee & Tea,Coffee (Small),,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Coffee (Medium),,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Coffee (Large),,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Latte (Small),,170,80,9.0,5.0,0.0,25,115,15,1,12,9,8,0,30,0
Coffee & Tea,Latte (Medium),,210,90,10.0,6.0,0.0,30,140,18,1,15,11,10,0,35,0
Coffee & Tea,Latte (Large),,280,120,14.0,8.0,0.0,40,180,24,1,20,15,15,0,50,2
Coffee & Tea,Caramel Latte (Small),,270,80,9.0,5.0,0.0,25,115,40,1,38,9,8,0,30,0
Coffee & Tea,Caramel Latte (Medium),,340,90,10.0,6.0,0.0,30,140,50,1,48,11,10,0,35,0
Coffee & Tea,Caramel Latte (Large),,430,120,14.0,8.0,0.0,40,180,62,1,59,15,15,0,50,2
Coffee & Tea,Hazelnut Latte (Small),,270,80,9.0,5.0,0.0,25,115,40,1,38,9,8,0,30,0
Coffee & Tea,Hazelnut Latte (Medium),,330,90,10.0,6.0,0.0,30,140,50,1,47,11,10,0,35,0
Coffee & Tea,Hazelnut Latte (Large),,430,120,14.0,8.0,0.0,40,180,62,1,58,15,15,0,50,2
Coffee & Tea,French Vanilla Latte (Small),,260,80,9.0,5.0,0.0,25,115,38,1,36,9,8,0,30,0
Coffee & Tea,French Vanilla Latte (Medium),,330,90,10.0,6.0,0.0,30,140,48,1,45,11,10,0,35,2
Coffee & Tea,French Vanilla Latte (Large),,420,120,14.0,8.0,0.0,40,190,60,1,56,15,15,0,50,2
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),,210,80,9.0,5.0,0.0,25,150,24,1,12,9,8,0,30,0
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),,260,90,10.0,6.0,0.0,30,190,29,1,15,12,10,0,35,0
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),,330,120,14.0,8.0,0.0,40,240,37,2,20,15,15,0,50,2
Coffee & Tea,Nonfat Latte (Small),,100,0,0.0,0.0,0.0,5,110,15,1,13,10,10,0,30,0
Coffee & Tea,Nonfat Latte (Medium),,130,0,0.0,0.0,0.0,5,135,19,1,16,12,15,0,40,0
Coffee & Tea,Nonfat Latte (Large),,170,0,0.5,0.0,0.0,10,180,25,1,21,16,15,0,50,2
Coffee & Tea,Nonfat Caramel Latte (Small),,200,0,0.0,0.0,0.0,5,110,41,1,39,10,10,0,30,0
Coffee & Tea,Nonfat Caramel Latte (Medium),,250,0,0.0,0.0,0.0,5,135,51,1,48,12,15,0,40,0
Coffee & Tea,Nonfat Caramel Latte (Large),,310,0,0.5,0.0,0.0,10,180,63,1,59,16,15,0,50,2
Coffee & Tea,Nonfat Hazelnut Latte (Small),,200,0,0.0,0.0,0.0,5,110,40,1,38,10,10,0,30,0
Coffee & Tea,Nonfat Hazelnut Latte (Medium),,250,0,0.0,0.0,0.0,5,135,51,1,48,12,15,0,40,0
Coffee & Tea,Nonfat Hazelnut Latte (Large),,310,0,0.5,0.0,0.0,10,180,63,1,59,16,15,0,50,2
Coffee & Tea,Nonfat French Vanilla Latte (Small),,190,0,0.0,0.0,0.0,5,115,39,1,37,10,10,0,30,0
Coffee & Tea,Nonfat French Vanilla Latte (Medium),,240,0,0.0,0.0,0.0,5,140,49,1,46,12,15,0,40,2
Coffee & Tea,Nonfat French Vanilla Latte (Large),,300,0,0.5,0.0,0.0,10,180,60,1,56,16,15,0,50,2
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),,140,0,0.0,0.0,0.0,5,150,24,1,13,10,10,0,30,0
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),,170,0,0.0,0.0,0.0,5,180,30,1,16,12,15,0,40,0
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),,220,0,0.5,0.0,0.0,10,240,38,2,21,16,15,0,50,2
Coffee & Tea,Mocha (Small),,340,100,11.0,7.0,0.0,35,150,49,2,42,10,10,0,30,6
Coffee & Tea,Mocha (Medium),,410,120,14.0,8.0,0.0,40,190,60,2,53,13,10,0,40,6
Coffee & Tea,Mocha (Large),,500,150,17.0,10.0,0.5,50,240,72,2,63,16,15,0,50,8
Coffee & Tea,Mocha with Nonfat Milk (Small),,270,30,3.5,2.0,0.0,15,150,49,2,43,11,10,0,35,6
Coffee & Tea,Mocha with Nonfat Milk (Medium),,330,30,3.5,2.0,0.0,15,190,60,2,53,13,15,0,40,6
Coffee & Tea,Mocha with Nonfat Milk (Large),,390,35,4.0,2.5,0.0,20,240,73,2,64,17,20,0,50,8
Coffee & Tea,Caramel Mocha (Small),,320,100,11.0,7.0,0.0,35,170,45,1,40,10,10,0,30,2
Coffee & Tea,Caramel Mocha (Medium),,390,120,14.0,8.0,0.5,40,220,55,1,50,12,15,0,40,2
Coffee & Tea,Caramel Mocha (Large),,480,150,17.0,10.0,0.5,50,270,66,1,60,16,15,0,50,4
Coffee & Tea,Nonfat Caramel Mocha (Small),,250,30,3.5,2.0,0.0,15,170,45,1,41,10,10,0,35,2
Coffee & Tea,Nonfat Caramel Mocha (Medium),,310,30,3.5,2.0,0.0,15,210,56,1,51,13,15,0,40,2
Coffee & Tea,Nonfat Caramel Mocha (Large),,370,35,3.5,2.5,0.0,20,270,67,1,61,17,20,0,50,4
Coffee & Tea,Hot Chocolate (Small),,360,120,13.0,8.0,0.0,40,180,50,1,45,11,10,0,40,6
Coffee & Tea,Hot Chocolate (Medium),,440,140,16.0,9.0,0.5,50,220,61,1,56,14,15,0,45,6
Coffee & Tea,Hot Chocolate (Large),,540,180,20.0,12.0,0.5,60,280,73,1,68,17,20,0,60,8
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),,280,30,3.5,2.0,0.0,15,180,50,1,46,12,15,0,40,6
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),,340,30,3.5,2.0,0.0,15,220,61,1,57,14,20,0,50,6
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),,400,35,3.5,2.5,0.0,20,280,74,1,69,19,25,0,60,8
Coffee & Tea,Regular Iced Coffee (Small),,140,40,4.5,3.0,0.0,15,35,23,0,22,1,4,0,4,0
Coffee & Tea,Regular Iced Coffee (Medium),,190,60,7.0,4.5,0.0,25,50,31,0,30,1,4,0,4,0
Coffee & Tea,Regular Iced Coffee (Large),,270,80,9.0,6.0,0.0,35,75,47,0,45,2,6,0,8,0
Coffee & Tea,Caramel Iced Coffee (Small),,130,40,4.5,3.0,0.0,15,35,22,0,21,1,4,0,4,0
Coffee & Tea,Caramel Iced Coffee (Medium),,180,60,7.0,4.5,0.0,25,50,29,0,28,1,4,0,4,0
Coffee & Tea,Caramel Iced Coffee (Large),,260,80,9.0,6.0,0.0,35,65,43,0,42,2,6,0,6,0
Coffee & Tea,Hazelnut Iced Coffee (Small),,130,40,4.5,3.0,0.0,15,35,21,0,20,1,4,0,4,0
Coffee & Tea,Hazelnut Iced Coffee (Medium),,180,60,7.0,4.5,0.0,25,50,29,0,28,1,4,0,4,0
Coffee & Tea,Hazelnut Iced Coffee (Large),,250,80,9.0,6.0,0.0,35,75,43,0,41,2,6,0,8,0
Coffee & Tea,French Vanilla Iced Coffee (Small),,120,40,4.5,3.0,0.0,15,40,20,0,19,1,4,0,4,0
Coffee & Tea,French Vanilla Iced Coffee (Medium),,170,60,7.0,4.5,0.0,25,55,27,0,26,1,4,0,4,0
Coffee & Tea,French Vanilla Iced Coffee (Large),,240,80,9.0,6.0,0.0,35,80,41,0,39,2,6,0,8,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),,80,40,4.5,3.0,0.0,15,65,9,0,1,1,4,0,4,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),,120,60,7.0,4.5,0.0,25,90,12,0,2,1,4,0,4,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),,160,80,9.0,6.0,0.0,35,135,18,0,2,2,6,0,8,0
Coffee & Tea,Iced Mocha (Small),,290,100,11.0,7.0,0.0,35,125,41,1,34,8,10,0,25,4
Coffee & Tea,Iced Mocha (Medium),,350,110,13.0,8.0,0.0,40,150,50,1,43,9,10,0,30,6
Coffee & Tea,Iced Mocha (Large),,480,150,16.0,10.0,0.5,50,220,70,2,62,14,15,0,40,8
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),,240,45,5.0,3.0,0.0,20,125,41,1,35,8,10,0,25,4
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),,290,45,5.0,3.5,0.0,20,150,50,1,43,10,15,0,30,6
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),,390,50,6.0,3.5,0.0,25,220,71,2,62,14,20,0,45,8
Coffee & Tea,Iced Caramel Mocha (Small),,280,100,11.0,7.0,0.0,35,140,38,0,33,8,10,0,25,2
Coffee & Tea,Iced Caramel Mocha (Medium),,340,110,13.0,7.0,0.0,40,170,46,1,41,9,10,0,30,2
Coffee & Tea,Iced Caramel Mocha (Large),,460,150,16.0,10.0,0.5,50,250,65,1,59,13,15,0,40,4
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),,230,45,5.0,3.0,0.0,20,140,38,0,33,8,10,0,25,2
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),,270,45,5.0,3.0,0.0,20,170,47,1,41,10,15,0,30,2
